Category,Message
ham,Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
ham,Ofcourse I also upload some songs
ham,"Looks like you found something to do other than smoke, great job!"
ham,"Whatever, juliana. Do whatever you want."
ham,Your dad is back in ph?
ham,Gimme a few was  &lt;#&gt;  minutes ago
ham,Is avatar supposed to have subtoitles
ham,U reach orchard already? U wan 2 go buy tickets first?
ham,Yes its possible but dint try. Pls dont tell to any one k
spam,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX
ham,I love to give massages. I use lots of baby oil... What is your fave position?
ham,Oh. U must have taken your REAL Valentine out shopping first.
ham,Yo dude guess who just got arrested the other day
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
ham,Yeah confirmed for you staying at  that weekend
spam,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
spam,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180"
ham,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
ham,Ok that's great thanx a lot.
ham,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor..."
spam,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
ham,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill"
ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck"
ham,"Hurry up, I've been weed-deficient for like three days"
ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning"
ham,Cuz ibored. And don wanna study
ham,"Just sent again. Do you scream and moan in bed, princess?"
ham,Now press conference da:)
ham,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,I cant pick the phone right now. Pls send a message
ham,I will come tomorrow di
ham,K:)k..its good:)when are you going?
ham,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
ham,Dont worry. I guess he's busy.
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx"
ham,"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back."
ham,"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?"
ham,Hi Harish's rent has been transfred to ur Acnt.
spam,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
spam,You have an important customer service announcement from PREMIER.
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk"
ham,"Aight, sounds good. When do you want me to come down?"
ham,He's in lag. That's just the sad part but we keep in touch thanks to skype
ham,"Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon...."
ham,"No my blankets are sufficient, thx"
ham,Got it! It looks scrumptious... daddy wants to eat you all night long!
spam,URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only
ham,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*"
ham,Its a part of checking IQ
spam,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
ham,No. Yes please. Been swimming?
ham,Yup next stop.
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH."
ham,"Damn, can you make it tonight or do you want to just wait til tomorrow"
ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX
ham,Once free call me sir.
ham,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola"
